_events,is_pa,is_pa_bool,is_ab,is_ab_bool,safe_or_out,safe_or_out_bool,bases_for_slg
catcher_interf,yes,1,no,0,safe,1,
caught_stealing_2b,no,0,no,0,out,0,
caught_stealing_3b,no,0,no,0,out,0,
caught_stealing_home,no,0,no,0,out,0,
double,yes,1,yes,1,safe,1,2
double_play,yes,1,yes,1,out,0,0
field_error,yes,1,no,0,safe,1,0
field_out,yes,1,yes,1,out,0,0
fielders_choice,yes,1,yes,1,out,0,0
fielders_choice_out,yes,1,yes,1,out,0,0
force_out,yes,1,yes,1,out,0,0
game_advisory,no,0,no,0,na,0,
grounded_into_double_play,yes,1,yes,1,out,0,0
hit_by_pitch,yes,1,no,0,safe,1,
home_run,yes,1,yes,1,safe,1,4
other_out,na,0,na,0,out,0,
passed_ball,no,0,no,0,na,0,
pickoff_1b,no,0,no,0,out,0,
pickoff_2b,no,0,no,0,out,0,
pickoff_3b,no,0,no,0,out,0,
pickoff_caught_stealing_2b,no,0,no,0,out,0,
pickoff_caught_stealing_3b,no,0,no,0,out,0,
pickoff_caught_stealing_home,no,0,no,0,out,0,
runner_double_play,yes,1,yes,1,out,0,0
sac_bunt,yes,1,yes,1,out,0,0
sac_bunt_double_play,yes,1,yes,1,out,0,0
sac_fly,yes,1,yes,1,out,0,0
sac_fly_double_play,yes,1,yes,1,out,0,0
single,yes,1,yes,1,safe,1,1
stolen_base_2b,no,0,no,0,safe,1,
stolen_base_home,no,0,no,0,safe,1,
strikeout,yes,1,yes,1,out,0,0
strikeout_double_play,yes,1,yes,1,out,0,0
triple,yes,1,yes,1,safe,1,3
triple_play,yes,1,yes,1,out,0,0
walk,yes,1,no,0,safe,1,
wild_pitch,no,0,no,0,na,0,
